hotel,arrival_date_month,country,total_night_stay,latitude,longitude
Resort Hotel,July,620,0,39.399872,-8.224454
Resort Hotel,July,620,0,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,4,39.399872,-8.224454
Resort Hotel,July,620,4,39.399872,-8.224454
Resort Hotel,July,620,4,39.399872,-8.224454
Resort Hotel,July,620,6,39.399872,-8.224454
Resort Hotel,July,620,6,39.399872,-8.224454
Resort Hotel,July,620,6,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,4,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,1,39.399872,-8.224454
Resort Hotel,July,620,1,39.399872,-8.224454
Resort Hotel,July,620,1,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,4,39.399872,-8.224454
Resort Hotel,July,620,8,39.399872,-8.224454
Resort Hotel,July,620,1,39.399872,-8.224454
Resort Hotel,July,620,1,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,6,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,8,39.399872,-8.224454
Resort Hotel,July,620,8,39.399872,-8.224454
Resort Hotel,July,620,10,39.399872,-8.224454
Resort Hotel,July,620,10,39.399872,-8.224454
Resort Hotel,July,620,1,39.399872,-8.224454
Resort Hotel,July,620,1,39.399872,-8.224454
Resort Hotel,July,620,1,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,1,39.399872,-8.224454
Resort Hotel,July,620,1,39.399872,-8.224454
Resort Hotel,July,620,1,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,5,39.399872,-8.224454
Resort Hotel,July,620,6,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,10,39.399872,-8.224454
Resort Hotel,July,620,10,39.399872,-8.224454
Resort Hotel,July,620,5,39.399872,-8.224454
Resort Hotel,July,620,4,39.399872,-8.224454
Resort Hotel,July,620,4,39.399872,-8.224454
Resort Hotel,July,620,0,39.399872,-8.224454
Resort Hotel,July,620,0,39.399872,-8.224454
Resort Hotel,July,620,1,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,4,39.399872,-8.224454
Resort Hotel,July,620,4,39.399872,-8.224454
Resort Hotel,July,620,5,39.399872,-8.224454
Resort Hotel,July,620,5,39.399872,-8.224454
Resort Hotel,July,620,6,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,8,39.399872,-8.224454
Resort Hotel,July,620,10,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,3,39.399872,-8.224454
Resort Hotel,July,620,0,39.399872,-8.224454
Resort Hotel,July,620,0,39.399872,-8.224454
Resort Hotel,July,620,1,39.399872,-8.224454
Resort Hotel,July,620,4,39.399872,-8.224454
Resort Hotel,July,620,4,39.399872,-8.224454
Resort Hotel,July,620,4,39.399872,-8.224454
Resort Hotel,July,620,1,39.399872,-8.224454
Resort Hotel,July,620,6,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,1,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,3,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,4,39.399872,-8.224454
Resort Hotel,July,620,4,39.399872,-8.224454
Resort Hotel,July,620,5,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,8,39.399872,-8.224454
Resort Hotel,July,620,10,39.399872,-8.224454
Resort Hotel,July,620,6,39.399872,-8.224454
Resort Hotel,July,620,6,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,4,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,3,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,8,39.399872,-8.224454
Resort Hotel,July,620,10,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,1,39.399872,-8.224454
Resort Hotel,July,620,6,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,9,39.399872,-8.224454
Resort Hotel,July,620,1,39.399872,-8.224454
